1,VCVC,10X Capital Venture Acquisition Corp
2,VCVCU,10X Capital Venture Acquisition Corp
3,VCVCW,10X Capital Venture Acquisition Corp
4,TXG,"10x Genomics, Inc."
5,YI,"111, Inc."
6,YQ,17 Education & Technology Group Inc.
7,TURN,180 Degree Capital Corp.
8,ATNF,180 Life Sciences Corp.
9,ATNFW,180 Life Sciences Corp.
10,FLWS,"1-800-FLOWERS.COM, Inc."
11,BCOW,"1895 Bancorp of Wisconsin, Inc."
12,ONEM,"1Life Healthcare, Inc."
13,FCCY,1st Constitution Bancorp (NJ)
14,SRCE,1st Source Corporation
15,VNET,"21Vianet Group, Inc."
16,ADERU,26 Capital Acquisition Corp.
17,TWOU,"2U, Inc."
18,QFIN,"360 DigiTech, Inc."
19,KRKR,36Kr Holdings Inc.
20,FDMT,"4D Molecular Therapeutics, Inc."
21,FVAM,5:01 Acquisition Corp.
22,JOBS,"51job, Inc."
23,VIIAU,7GC & Co. Holdings Inc.
24,ENFAU,"890 5th Avenue Partners, Inc."
25,ETNB,"89bio, Inc."
26,EGHT,8x8 Inc
27,NMTR,"9 Meters Biopharma, Inc."
28,MASS,908 Devices Inc.
29,JFU,9F Inc.
30,AAON,"AAON, Inc."
31,ABCM,Abcam plc
32,ABCL,AbCellera Biologics Inc.
33,ABEO,Abeona Therapeutics Inc.
34,ABMD,"ABIOMED, Inc."
35,AXAS,Abraxas Petroleum Corporation
36,ABST,Absolute Software Corporation
37,ACIU,AC Immune SA
38,ACIA,"Acacia Communications, Inc."
39,ACTG,Acacia Research Corporation
40,ASO,"Academy Sports and Outdoors, Inc."
41,ACHC,"Acadia Healthcare Company, Inc."
42,ACAD,ACADIA Pharmaceuticals Inc.
43,ACST,"Acasti Pharma, Inc."
44,AXDX,"Accelerate Diagnostics, Inc."
45,XLRN,Acceleron Pharma Inc.
46,ACCD,"Accolade, Inc."
47,ARAY,Accuray Incorporated
48,ACEV,ACE Convergence Acquisition Corp.
49,ACEVU,ACE Convergence Acquisition Corp.
50,ACEVW,ACE Convergence Acquisition Corp.
51,ACRX,"AcelRx Pharmaceuticals, Inc."
52,ACER,Acer Therapeutics Inc.
53,ACHV,"Achieve Life Sciences, Inc. "
54,ACIW,"ACI Worldwide, Inc."
55,ACAC,Acies Acquisition Corp.
56,ACACU,Acies Acquisition Corp.
57,ACACW,Acies Acquisition Corp.
58,ACKIU,Ackrell SPAC Partners I Co. 
59,ACRS,"Aclaris Therapeutics, Inc."
60,ACMR,"ACM Research, Inc."
61,ACNB,ACNB Corporation
62,STWO,ACON S2 Acquisition Corp.
63,STWOU,ACON S2 Acquisition Corp.
64,STWOW,ACON S2 Acquisition Corp.
65,ACOR,"Acorda Therapeutics, Inc."
66,ATVI,"Activision Blizzard, Inc"
67,AFIB,"Acutus Medical, Inc."
68,ADMS,"Adamas Pharmaceuticals, Inc."
69,ADMP,Adamis Pharmaceuticals Corporation
70,AHCO,AdaptHealth Corp. 
71,ADAP,Adaptimmune Therapeutics plc
